Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:30,2023-12-18 12:36:31,"0,684s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Over ons - RisQIT/h1_Over ons""), ""Over Ons"")",Chrome 120.0.0.0,,,2023-12-18 12:36:31,2023-12-18 12:36:31,"0,583s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:31,2023-12-18 12:36:31,"0,105s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:31,2023-12-18 12:36:32,"0,701s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns_MissieVisie""))",Chrome 120.0.0.0,,,2023-12-18 12:36:32,2023-12-18 12:36:33,"0,660s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Missie  Visie - RisQIT/h1_Missie  Visie""), ""Missie & Visie"")",Chrome 120.0.0.0,,,2023-12-18 12:36:33,2023-12-18 12:36:33,"0,589s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:33,2023-12-18 12:36:33,"0,095s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:33,2023-12-18 12:36:34,"0,712s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns_HetGilde""))",Chrome 120.0.0.0,,,2023-12-18 12:36:34,2023-12-18 12:36:35,"0,681s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Het Gilde - RisQIT/h1_Het Gilde""), ""Het Gilde"")",Chrome 120.0.0.0,,,2023-12-18 12:36:35,2023-12-18 12:36:35,"0,613s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:35,2023-12-18 12:36:35,"0,085s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:35,2023-12-18 12:36:36,"0,777s",PASSED
