Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Menu/RT027 MobileMenu - AlgVoorwaarden,Chrome 120.0.0.0,,,2023-12-18 17:21:20,2023-12-18 17:21:49,"28,120s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 17:21:20,2023-12-18 17:21:21,"0,621s",PASSED
navigateToUrl(URL + ALGVOORW),Chrome 120.0.0.0,,,2023-12-18 17:21:21,2023-12-18 17:21:21,"0,242s",PASSED
"callTestCase(findTestCase(""Menu/RT000.2 MobileMenu""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-18 17:21:21,2023-12-18 17:21:48,"27,063s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 17:21:48,2023-12-18 17:21:49,"0,140s",PASSED
,,,,,,,
Test Cases/Menu/RT028 MobileMenu - Privacybeleid,Chrome 120.0.0.0,,,2023-12-18 17:21:49,2023-12-18 17:22:17,"28,467s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 17:21:49,2023-12-18 17:21:49,"0,670s",PASSED
navigateToUrl(URL + PRIVACYBELEID),Chrome 120.0.0.0,,,2023-12-18 17:21:49,2023-12-18 17:21:50,"0,315s",PASSED
"callTestCase(findTestCase(""Menu/RT000.2 MobileMenu""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-18 17:21:50,2023-12-18 17:22:17,"27,258s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 17:22:17,2023-12-18 17:22:17,"0,171s",PASSED
